Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
316,0,0.00556001,-0.0364097,-0.00137075,-6.62119,41.8037,417.522
317,0,0.00700561,-0.0374639,2.42041e-05,-6.63251,41.7925,417.442
318,0,0.00966458,-0.0363343,0.00253438,-6.66718,41.7247,417.407
319,0,0.00876068,-0.0366062,0.00304067,-6.63106,41.6807,417.31
320,0,0.00823911,-0.0370942,0.00196524,-6.56867,41.694,417.232
321,0,0.00908722,-0.0361701,0.00382946,-6.62681,41.6645,417.236
322,0,0.00970931,-0.0367927,0.00438173,-6.59305,41.6327,417.146
323,0,0.00855206,-0.0352943,0.00501759,-6.5619,41.581,417.083
324,0,0.00900339,-0.0363074,0.00454627,-6.53912,41.5774,417.043
325,0,0.00934329,-0.0360173,0.00536234,-6.53112,41.5573,417.039
326,0,0.0101452,-0.0349492,0.005807,-6.48627,41.5179,416.991
327,0,0.00881688,-0.0356398,0.00616862,-6.52053,41.4916,416.948
328,0,0.0103219,-0.0355361,0.0067553,-6.42031,41.4733,416.932
329,0,0.00969283,-0.0350494,0.00672284,-6.43646,41.4601,416.955
330,0,0.00945228,-0.0350972,0.00640842,-6.43209,41.4034,416.907
331,0,0.00957433,-0.0353318,0.00731274,-6.4414,41.3966,416.917
332,0,0.0102198,-0.0361274,0.00711017,-6.36385,41.407,416.906
333,0,0.0099559,-0.0354555,0.00746315,-6.41179,41.3834,416.963
334,0,0.00962159,-0.0354521,0.00736122,-6.39268,41.3449,416.914
335,0,0.0102104,-0.0364632,0.00773812,-6.38858,41.3241,416.964
336,0,0.0104594,-0.0367794,0.00782465,-6.31917,41.3066,416.984
337,0,0.011083,-0.0365363,0.00795803,-6.3642,41.3142,417.037
338,0,0.0102383,-0.0359247,0.0075877,-6.34214,41.2976,417.032
339,0,0.010552,-0.03695,0.0080316,-6.35397,41.2623,417.079
340,0,0.0102884,-0.0368976,0.00775773,-6.29682,41.2585,417.112
341,0,0.0107656,-0.0369219,0.00767826,-6.2883,41.249,417.204
342,0,0.0105015,-0.036789,0.00773693,-6.27932,41.2311,417.242
343,0,0.0108421,-0.036934,0.00817353,-6.30117,41.2035,417.327
344,0,0.0111452,-0.037441,0.00849246,-6.27028,41.2092,417.343
345,0,0.0108072,-0.0373817,0.00727575,-6.25717,41.1955,417.486
346,0,0.0110612,-0.0374953,0.00787241,-6.28956,41.1915,417.583
347,0,0.0114504,-0.0367282,0.00822064,-6.31961,41.1563,417.684
348,0,0.00956576,-0.0370093,0.00714886,-6.28494,41.1404,417.762
349,0,0.00980137,-0.0380615,0.00652398,-6.30805,41.1485,417.95
350,0,0.00901836,-0.0373717,0.00605612,-6.30107,41.123,418.043
351,0,0.00725077,-0.037139,0.00505095,-6.31407,41.085,418.104
352,0,0.00332233,-0.036366,0.00340816,-6.27138,41.0471,418.182
